tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
S02,switch,11,0.7333333333333333,1240.0,0.023498441161704364,1.2876427829698858,1.3822612448061389,7.348191834541278,94.67602973033785,-5.761363646674086,100.43739337701193,40.0,52.7882737522346,12.788273752234602,53.71508664424283,11.04353474060164,2.76088368515041,86.6329749512599,1.8666524181739232,1016.8029315619414,150000000.0,0.62,82.8265105545123
S03,switch,12,0.7999999999999999,1240.0,0.023485517620764982,1.2876427829698858,1.381501036515587,7.289153077783098,93.95506874358648,-6.370715437225044,100.32578418081152,40.0,52.795299951992945,12.795299951992945,53.73536194822134,11.03139075830525,2.7578476895763124,86.53654573292997,1.8666531714587662,1016.8011750120017,150000000.0,0.62,82.73543068728934
S04,switch,13,0.8666666666666667,1240.0,0.02347310170080675,1.2876427829698858,1.38077068828275,7.232433291636142,93.23635075346014,-6.982268165750382,100.21861891921053,40.0,52.80205744682826,12.802057446828258,53.75637524396939,11.019730069128334,2.7549325172820835,86.4439563328001,1.866653895936997,1016.7994856382929,150000000.0,0.62,82.64797551846246
S05,switch,14,0.9333333333333333,1240.0,0.02346118331495209,1.2876427829698858,1.3800696067618876,7.177986396104652,92.519828577624,-7.595974800262122,100.11580337788611,40.0,52.808550871205966,12.808550871205966,53.77818315810839,11.008542450755725,2.752135612688931,86.35512531444148,1.8666545921053108,1016.7978622821985,150000000.0,0.62,82.56406838066796
S06,switch,15,1.0,1240.0,0.02344975233486449,1.2876427829698858,1.3793971961684994,7.125766121795561,91.80545509901481,-8.21178835768748,100.01724345670229,40.0,52.81478493676724,12.81478493676724,53.80084746167677,10.997817691329653,2.749454422832413,86.2699713425402,1.8666552604686881,1016.7963037658083,150000000.0,0.62,82.48363268497243
S07,switch,16,1.0666666666666667,1240.0,0.023438798591197803,1.2876427829698858,1.378752858305753,7.075726011970984,91.09318325956222,-8.829661895845241,99.92284515540747,40.0,52.82076443021947,12.82076443021947,53.82443568088945,10.987545587974722,2.7468863969936805,86.18841317043908,1.8666559015401667,1016.7948088924452,150000000.0,0.62,82.40659190981042
S08,switch,17,1.1333333333333333,1240.0,0.023428311873990037,1.2876427829698858,1.378135992587649,7.027819424347272,90.38296605391935,-9.449548505208954,99.8325145591283,40.0,52.82649421126098,12.826494211260979,53.84902179723156,10.977715945298852,2.744428986324713,86.11036962750474,1.8666565158406203,1016.7933764471848,150000000.0,0.62,82.33286958974135
S09,switch,18,1.2,1240.0,0.02341828193299542,1.2876427829698858,1.377545996058554,6.981999532611899,89.67475652319601,-10.071401300416452,99.74615782361245,40.0,52.83197921054585,12.831979210545853,53.87468705250353,10.968318573865194,2.7420796434662984,86.03575960628098,1.8666571038985391,1016.7920051973636,150000000.0,0.62,82.26238930398898
C10,compute,19,1.2666666666666666,5800.0,0.10117917093229259,6.022845275181723,5.951715937193681,-1.1809922841807632,88.96850774868757,-10.695173411478596,99.66368116016616,40.0,53.89018999008039,13.890189990080387,53.9015208776388,56.30473546800346,23.545616650255987,19.813329041906712,,1016.52745250248,0.0,0.62,0.0
C11,compute,20,1.3333333333333333,5800.0,0.10114487762980273,6.022845275181723,5.949698684106043,-1.2144856414806948,88.2701996544123,-11.326743279009056,99.59694293342135,40.0,53.894891562293424,13.894891562293424,53.90293853853683,56.266574489112735,23.52965842271987,19.800710021588763,,1016.5262771094267,0.0,0.62,0.0
C12,compute,21,1.4,5800.0,0.10111777575258167,6.022845275181723,5.948104456034216,-1.240955324811204,87.5789637351312,-11.965251860840429,99.54421559597162,40.0,53.898609450615936,13.898609450615936,53.904088867495716,56.236425152321665,23.517050518243607,19.790739925406374,,1016.525347637346,0.0,0.62,0.0
C13,compute,22,1.4666666666666666,5800.0,0.1010969777269307,6.022845275181723,5.946881042760629,-1.2612682038191998,86.89392634986568,-12.609835569725224,99.5037619195909,40.0,53.90146391383814,13.901463913838143,53.90500252371328,56.21329398035738,23.507377482694903,19.783090456538662,,1016.5246340215405,0.0,0.62,0.0
C14,compute,23,1.5333333333333332,5800.0,0.10108158741190115,6.022845275181723,5.945975730111832,-1.2762995155569838,86.2142070967227,-13.259624776404262,99.47383187312697,40.0,53.903576940833375,13.903576940833375,53.905710461880176,56.19618022540397,23.50022082153257,19.777430826190407,,1016.5241057647917,0.0,0.62,0.0
C15,compute,24,1.5999999999999999,5800.0,0.10107069844666433,6.022845275181723,5.94533520274496,-1.2869344785621148,85.53891662821921,-13.913741811323368,99.45265843954259,40.0,53.90507233906703,13.905072339067033,53.90624394445592,56.18407346473105,23.495157994342076,19.773426980469452,,1016.5237319152333,0.0,0.62,0.0
C16,compute,25,1.6666666666666667,5800.0,0.10106339151587014,6.022845275181723,5.944905383286478,-1.294070963708976,84.86715343215772,-14.57129803789568,99.43845147005341,40.0,53.906075991403725,13.906075991403725,53.906634523460866,56.175950075795285,23.491760940787124,19.770740453470996,,1016.5234810021491,0.0,0.62,0.0
C17,compute,26,1.7333333333333334,5800.0,0.10105872941586042,6.022845275181723,5.944631142109436,-1.2986243129071156,84.19799843573294,-15.231388971783469,99.4293874075164,40.0,53.906716435517524,13.906716435517524,53.906913806314776,56.170767351314495,23.48959361964061,19.7690264365613,,1016.5233208911206,0.0,0.62,0.0
C18,compute,27,1.8,5800.0,0.10105585607549858,6.022845275181723,5.944462122088152,-1.3014306280880976,83.53064486832434,-15.893156389754589,99.42380125807894,40.0,53.90711118271446,13.90711118271446,53.90711118271446,56.167573259335356,23.48825790844933,19.767970090294256,,1016.5232222043214,0.0,0.62,0.0
