tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
S02,switch,11,0.7333333333333333,1240.0,0.049671578091028006,1.2876427829698855,2.9147136288133795,126.36042133445844,71.41527113962852,-5.674054978781115,77.08932611840963,40.0,46.35804835285467,6.3580483528546665,53.267208935069334,49.345313401061865,12.336328350265466,15.407684367082288,,1020.7197464612008,0.0,0.62,0.0
S03,switch,12,0.7999999999999999,1240.0,0.049630320409407444,1.2876427829698855,2.912292640160828,126.17240423184496,70.68583197252165,-6.2773753384410815,76.96320731096274,40.0,46.36332524587692,6.363325245876922,53.56750608276661,49.2633740788089,12.315843519702225,15.383989712451614,,1020.7182689311545,0.0,0.62,0.0
S04,switch,13,0.8666666666666667,1240.0,0.0495922304775918,1.2876427829698855,2.9100575341374157,125.99882301405904,69.96136821160852,-6.885494381653836,76.84686259326234,40.0,46.36820476314915,6.368204763149151,53.894569903354295,49.187786474851706,12.296946618712926,15.362129499697701,,1020.7169026663182,0.0,0.62,0.0
S05,switch,14,0.9333333333333333,1240.0,0.04955717453533787,1.2876427829698855,2.908000461731317,125.83906811671443,69.24167084611656,-7.498191253025182,76.73986209914176,40.0,46.37270222838697,6.37270222838697,54.25222366847112,49.1182709585188,12.2795677396297,15.342023400993252,,1020.7156433760517,0.0,0.62,0.0
S06,switch,15,1.0,1240.0,0.04952501745073392,1.2876427829698855,2.906113493441599,125.69252372453712,68.52653111984179,-8.115243493588316,76.64177461343012,40.0,46.37683337768317,6.37683337768317,54.64504930330207,49.05454706990998,12.263636767477495,15.323590776042622,,1020.7144866542487,0.0,0.62,0.0
S07,switch,16,1.0666666666666667,1240.0,0.049495622629374625,1.2876427829698855,2.9043886139486332,125.55856735746242,67.81574043943951,-8.736426629643397,76.5521670690829,40.0,46.380614353669785,6.380614353669785,55.078584009886754,48.99633318938923,12.249083297347308,15.30675058234637,,1020.7134279809725,0.0,0.62,0.0
S08,switch,17,1.1333333333333333,1240.0,0.04946885192737496,1.2876427829698855,2.9028177170097775,125.43656947422713,67.1090902816203,-9.36151378273611,76.47060406435641,40.0,46.384061699564995,6.384061699564995,55.559512596612024,48.943346220250994,12.235836555062749,15.291421289042662,,1020.7124627241218,0.0,0.62,0.0
S09,switch,18,1.2,1240.0,0.04944456525670084,1.2876427829698855,2.9013925823002933,125.32589167380507,66.40637209860797,-9.990274353071177,76.39664645167915,40.0,46.38719239332852,6.387192393328519,56.09610009094206,48.89530066848295,12.223825167120738,15.277520616075481,,1020.711586129868,0.0,0.62,0.0
C10,compute,19,1.2666666666666666,5800.0,0.0883054692321089,6.022845275181723,5.181739025845021,-13.965264105366293,65.70737722103195,-10.622473416595264,76.32985063762722,40.0,56.6836523057317,16.683652305731698,56.69869357932572,42.888207429666124,17.935068561496742,15.506574646464355,,1017.7617408313378,0.0,0.62,0.0
C11,compute,20,1.3333333333333333,5800.0,0.08827344306348682,6.022845275181723,5.179859739666708,-13.99646673622345,65.01451558244115,-11.26069834318593,76.27521392562707,40.0,56.68967480931036,16.68967480931036,56.7005756392432,42.857104126554574,17.922061725650096,15.496048073422449,,1017.7599943053,0.0,0.62,0.0
C12,compute,21,1.4,5800.0,0.08824775689578448,6.022845275181723,5.178352482882219,-14.021492396283158,64.32711941220072,-11.904287836505118,76.23140724870585,40.0,56.694508211548055,16.694508211548055,56.70213405926455,42.83216628425613,17.9116331734162,15.487607791033476,,1017.758592618651,0.0,0.62,0.0
C13,compute,22,1.4666666666666666,5800.0,0.08822763194179023,6.022845275181723,5.177171556486468,-14.041099846612608,63.64451677366013,-12.552576908357544,76.19709368201767,40.0,56.698297102204776,16.698297102204776,56.703405708972014,42.81263270930802,17.90346458752881,15.48099638518083,,1017.7574938403606,0.0,0.62,0.0
C14,compute,23,1.5333333333333332,5800.0,0.08821228150830268,6.022845275181723,5.176270797553213,-14.056055550969923,62.96603025574237,-13.204895676026783,76.17092593176916,40.0,56.70118825453267,16.701188254532667,56.70442780417784,42.79773634895022,17.89723520047009,15.475954382348874,,1017.7566554061855,0.0,0.62,0.0
C15,compute,24,1.5999999999999999,5800.0,0.08820090945613071,6.022845275181723,5.175603488868306,-14.067135176203823,62.290975208031135,-13.86056775133819,76.15154295936932,40.0,56.70333074859991,16.70333074859991,56.70523788730361,42.786702358887126,17.892620986443703,15.472219614038496,,1017.756034082906,0.0,0.62,0.0
C16,compute,25,1.6666666666666667,5800.0,0.0881927076581144,6.022845275181723,5.175122209767105,-14.075126068866872,61.61865713239109,-14.518907874282446,76.13756500667354,40.0,56.70487630701183,16.70487630701183,56.70587369665998,42.77874526238298,17.88929347336015,15.469526270930405,,1017.7555858709666,0.0,0.62,0.0
C17,compute,26,1.7333333333333334,5800.0,0.0881868964475754,6.022845275181723,5.1747812096376755,-14.080787846877902,60.948444034952175,-15.179217956884498,76.12766199183667,40.0,56.70597155228677,16.70597155228677,56.70637243599742,42.77310787780462,17.886936021627385,15.467618092404647,,1017.7552682498368,0.0,0.62,0.0
C18,compute,27,1.8,5800.0,0.08818264276709896,6.022845275181723,5.174531604915342,-14.084932145974577,60.27954337839779,-15.840870224420481,76.12041360281827,40.0,56.706773338883124,16.706773338883124,56.706773338883124,42.76898166964384,17.885210516396516,15.466221416777945,,1017.7550357317239,0.0,0.62,0.0
