tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
S09,NVSwitch,2,620.0,41.09092399781048,0.015,0.035,50.390923997810475,62.79092399781048,80.0,17.20907600218952,,
C10,GPU,4,1200.0,50.92930193996983,0.01,0.02,62.92930193996983,74.92930193996983,80.0,5.070698060030168,,
C10,CPU,2,500.00000000000006,50.92930193996983,0.02,0.04,60.92930193996983,70.92930193996983,80.0,9.070698060030168,,
C11,GPU,4,1200.0,50.934943863513865,0.01,0.02,62.934943863513865,74.93494386351387,80.0,5.065056136486135,,
C11,CPU,2,500.00000000000006,50.934943863513865,0.02,0.04,60.934943863513865,70.93494386351387,80.0,9.065056136486135,,
C12,GPU,4,1200.0,50.939446195133314,0.01,0.02,62.939446195133314,74.93944619513331,80.0,5.060553804866686,,
C12,CPU,2,500.00000000000006,50.939446195133314,0.02,0.04,60.939446195133314,70.93944619513331,80.0,9.060553804866686,,
C13,GPU,4,1200.0,50.94294742015603,0.01,0.02,62.94294742015603,74.94294742015603,80.0,5.057052579843969,,
C13,CPU,2,500.00000000000006,50.94294742015603,0.02,0.04,60.94294742015603,70.94294742015603,80.0,9.057052579843969,,
C14,GPU,4,1200.0,50.945588119366334,0.01,0.02,62.945588119366334,74.94558811936633,80.0,5.0544118806336655,,
C14,CPU,2,500.00000000000006,50.945588119366334,0.02,0.04,60.945588119366334,70.94558811936633,80.0,9.054411880633666,,
C15,GPU,4,1200.0,50.94751108844122,0.01,0.02,62.94751108844122,74.94751108844122,80.0,5.0524889115587825,,
C15,CPU,2,500.00000000000006,50.94751108844122,0.02,0.04,60.94751108844122,70.94751108844122,80.0,9.052488911558783,,
C16,GPU,4,1200.0,50.948861662395984,0.01,0.02,62.948861662395984,74.94886166239598,80.0,5.051138337604016,,
C16,CPU,2,500.00000000000006,50.948861662395984,0.02,0.04,60.948861662395984,70.94886166239598,80.0,9.051138337604016,,
C17,GPU,4,1200.0,50.94977469080635,0.01,0.02,62.94977469080635,74.94977469080635,80.0,5.0502253091936495,,
C17,CPU,2,500.00000000000006,50.94977469080635,0.02,0.04,60.94977469080635,70.94977469080635,80.0,9.05022530919365,,
C18,GPU,4,1200.0,50.95041202632825,0.01,0.02,62.95041202632825,74.95041202632825,80.0,5.049587973671748,,
C18,CPU,2,500.00000000000006,50.95041202632825,0.02,0.04,60.95041202632825,70.95041202632825,80.0,9.049587973671748,,
