parameter,value,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error
rack_flow_LPM,115.0,0.5366363662581564,0.24454730337307853,1.0572643163655593,0.734817077703623,1.2651761711795326,0.0,56.66374504953535,46.328898495898954,10.334846553636396,73410.14878068566,73410.14878068566,115.0,115560.0,54.32218735418644,14.32218735418644,140.70278516298086,234.50464193830143,0.004082813812605295,0.038,0.038,1.7019598533574807,0.005694450843896859,0.0,True,
rack_flow_LPM,120.0,0.5364589663859313,0.24451111320721097,1.057289007175159,0.7349159697275627,1.265297422941159,0.0,55.96999582540781,46.06506379464389,9.904932030763916,79833.85472782559,79833.85472782559,120.0,115560.0,53.72642027106809,13.726420271068093,159.66770945565116,266.11284909275196,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
rack_flow_LPM,125.0,0.5363007774569679,0.24447836045781418,1.0573139968012353,0.735005613217277,1.265408743636563,0.0,55.331749296854866,45.822346507731254,9.509402789123612,86524.47066412891,86524.47066412891,125.0,115560.0,53.178238709428854,13.178238709428854,180.2593138836019,300.4321898060032,0.004082813812605295,0.038,0.038,1.848912237442749,0.005694450843896859,-0.041666666666666664,False,
rack_flow_LPM,130.0,0.5361588454654451,0.24444860048118824,1.0573388970417967,0.7350871781712877,1.2655111138552813,0.0,54.74259661630043,45.59830923666186,9.14428737963857,93481.79142506752,93481.79142506752,130.0,115560.0,52.672160421191904,12.672160421191904,202.54388142097963,337.57313570163274,0.004082813812605295,0.038,0.038,1.9223887245970608,0.005694450843896859,-0.08333333333333333,False,
taper_ratio,0.6,0.5633874946148771,0.24548593054209103,1.0776428378605853,0.7343460623802536,1.2789336322043825,0.0,56.216254373443235,46.02879944019071,10.187454933252525,82784.35136419043,82784.35136419043,120.0,115560.0,53.72642027106809,13.726420271068093,165.56870272838086,275.9478378806348,0.0026673636833335367,0.022799999999999997,0.038,1.8020338596775547,0.0042790007146251,0.0,True,
taper_ratio,0.65,0.5599328842446547,0.2454698325167074,1.0736565699541536,0.7338910909308968,1.2758494093082962,0.0,56.17017513025587,46.036963670329555,10.133211459926315,82400.96949973643,82400.96949973643,120.0,115560.0,53.72642027106804,13.726420271068037,164.80193899947287,274.6698983324548,0.002820486703080124,0.0247,0.038,1.7986765546596084,0.004432123734371688,0.0,True,
taper_ratio,0.7,0.5569127479449033,0.24543454729343564,1.0704143731729163,0.7336157468749767,1.2733773016734067,0.0,56.13306049991451,46.043523555553065,10.089536944361441,82069.57174014681,82069.57174014681,120.0,115560.0,53.72642027106804,13.726420271068037,164.13914348029363,273.56523913382273,0.002980412078944534,0.0266,0.038,1.7953286232220635,0.004592049110236098,0.0,True,
taper_ratio,0.75,0.5542529144669359,0.2453860534516215,1.067748182308469,0.7334664182543892,1.2713800198373546,0.0,56.10268655419327,46.04883388314255,10.05385267105072,81780.0627527254,81780.0627527254,120.0,115560.0,53.72642027106804,13.726420271068037,163.5601255054508,272.60020917575133,0.003147139810926768,0.028499999999999998,0.038,1.7919900305027083,0.004758776842218332,0.0,True,
taper_ratio,0.8,0.5518946475954251,0.24532882014898436,1.0655346358840583,0.7334058888078135,1.2697554578782508,0.0,56.07748738714639,46.05316011891006,10.024327268236334,81524.7955959391,81524.7955959391,120.0,115560.0,53.72642027106809,13.726420271068093,163.0495911918782,271.74931865313033,0.0033206698990268266,0.0304,0.038,1.7886607418012566,0.00493230693031839,0.0,True,
taper_ratio,0.85,0.5497909465026652,0.2452661379592982,1.0636815765214804,0.7334079863909211,1.2684265411945803,0.0,56.0563355112904,46.056703650630595,9.999631860659804,81297.87785196397,81297.87785196397,120.0,115560.0,53.72642027106804,13.726420271068037,162.59575570392795,270.9929261732133,0.003501002343244707,0.032299999999999995,0.038,1.7853407225784441,0.0051126393745362705,0.0,True,
taper_ratio,0.9,0.5479038224032826,0.24520041341819768,1.0621187047489644,0.7334540727411142,1.2673342652624593,0.0,56.038394410486205,46.059619292062735,9.97877511842347,81094.69558103048,81094.69558103048,120.0,115560.0,53.72642027106804,13.726420271068037,162.18939116206096,270.3156519367683,0.003688137143580413,0.0342,0.038,1.7820299384551312,0.005299774174871976,0.0,True,
taper_ratio,0.95,0.5462022933709825,0.2451333891587249,1.0607917101312732,0.733530758510686,1.2664329349530499,0.0,56.02303366079775,46.06202735199531,9.961006308802439,80911.58678658672,80911.58678658672,120.0,115560.0,53.72642027106804,13.726420271068037,161.82317357317345,269.70528928862245,0.0038820743000339423,0.0361,0.038,1.7787283552114144,0.005493711331325506,0.0,True,
