design,scenario,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error,failed_constraints
baseline,nominal102,0.5362799034773151,0.24444844814286024,1.057431821248886,0.7350924675811715,1.265575137808739,0.0,54.09918034358856,45.35318517695032,8.745995166638238,79867.28027650282,79867.28027650282,120.0,101999.99999999999,52.1181009259646,12.118100925964598,159.73456055300565,266.22426758834274,0.004082813812605295,0.038,0.038,1.7740278351049303,0.005694450843896859,0.0,True,,
baseline,OEM115,0.5364516036341218,0.2445085434308952,1.0572948461072833,0.7349232065450952,1.265308800441324,0.0,55.89275119726108,46.03566389780423,9.85708729945685,79835.22664517262,79835.22664517262,120.0,115000.0,53.66001239086131,13.660012390861311,159.67045329034525,266.1174221505754,0.004082813812605295,0.038,0.038,1.7753777536155069,0.005694450843896859,0.0,True,,
C,full,1.079668813879105,0.5022655335269879,0.015423452627669748,0.004416969139038677,0.010126220903923084,0.0,53.799401136422375,53.58904308881125,0.2103580476111233,105092.4025634684,105092.4025634684,120.0,115560.0,53.72642027106804,13.726420271068037,210.1848051269368,350.3080085448947,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,,
C,compute75,1.0794008765847194,0.5021720765293392,0.28473897538750925,0.1328607931625608,0.22689707552612354,0.0,53.74486143752091,50.19695219064903,3.547909246871882,105176.36852688757,105176.36852688757,120.0,89460.0,50.63020401886632,10.630204018866323,210.35273705377514,350.58789508962525,0.004082813812605295,0.038,0.038,1.7727271502646484,0.005694450843896859,0.0,True,,
C,compute50,1.0791301051036244,0.5020768207738001,0.6123680669755496,0.27217309660350036,0.4521872556369209,0.0,53.738273943714034,46.8014220827647,6.936851860949332,105262.35676882838,105262.35676882838,120.0,63360.0,47.531665179423385,7.531665179423385,210.52471353765677,350.8745225627613,0.004082813812605295,0.038,0.038,1.7700245920831876,0.005694450843896859,0.0,True,,
C,nonuniform,1.0787511537406966,0.5021644683760786,0.7670345008272426,0.3703182882115962,0.5630699853871374,0.0,53.792868796538926,46.80400501767582,6.988863778863106,105185.06215897138,105185.06215897138,120.0,89460.0,50.63020401886632,10.630204018866323,210.37012431794278,350.61687386323797,0.004082813812605295,0.038,0.038,1.7727271502646487,0.005694450843896859,0.0,True,,
C,switch_heavy,1.0798083924215698,0.5023293697935551,0.189117407849432,0.08858774128746981,0.1523773071808517,0.0,56.5012558279559,53.58855409987433,2.912701728081572,105099.89223439268,105099.89223439268,120.0,117792.0,53.9910925086881,13.991092508688098,210.19978446878537,350.3329741146423,0.004082813812605295,0.038,0.038,1.7756678768591314,0.005694450843896859,0.0,True,,
C,near_zero,1.0775339637790722,0.5022415536969435,26.9998753789154,1068793.4857377997,5553613.860289527,0.0,53.79793378164885,40.0000023514782,13.79793143017065,105114.06324180783,105114.06324180783,120.0,109760.001,53.038572783666496,13.038572783666496,210.22812648361565,350.3802108060261,0.004082813812605295,0.038,0.038,1.774833446240431,0.005694450843896859,0.0,True,,
C,blocked,1.0994146363924302,0.5080617116404945,0.40064576845593874,0.07462657036034183,0.3737931183413332,0.0,61.898263769601556,53.340814829245005,8.55744894035655,109311.56505947583,109311.56505947583,120.0,115560.0,53.72642027106804,13.726420271068037,218.62313011895168,364.37188353158615,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,,
C,degraded_qdc,1.0830291936112557,0.5017633002573765,0.10136185833547308,0.01797875374327255,0.08780708369767488,0.0,55.04531221773533,53.54132587140549,1.5039863463298389,106160.74189634381,106160.74189634381,120.0,115560.0,53.72642027106809,13.726420271068093,212.32148379268762,353.8691396544794,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,,
C,double_resistance,1.0886378513110604,0.5026231496813398,0.20407329844776173,0.0372555412194293,0.1857051175431315,0.0,56.85043969815575,53.47201390536475,3.378425792791006,107234.11754091916,107234.11754091916,120.0,115560.0,53.72642027106804,13.726420271068037,214.46823508183834,357.44705846973056,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,,
C,compute_removed,1.0932557886913503,0.5139866589093499,0.013658990418530822,0.00398350924182824,0.009050287014192178,0.0,53.098829470407,52.92181103505965,0.17701843534734962,116117.44713993536,116117.44713993536,120.0,109760.0,53.03857266506225,13.038572665062247,232.23489427987073,387.0581571331179,0.004082813812605294,0.038,0.038,1.7748334461365798,0.0056190526202107025,-0.009716931651611863,False,,"CDU_external_head, pump_curve"
