design,time_s,tray,liquid_W,electrical_W,connection,bore_mm,flow_LPM,solid_C
active,154.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.2283482332639195,68.85947801096503
active,154.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.228462578218003,68.85833177210753
active,154.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.2285729450117493,68.8572216663885
active,154.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.2286793975507349,68.85614747347444
active,154.0,C10,1740.0,1740.0,1.0,3.771968707765995,5.675329806865043,60.071502894927704
active,154.0,C11,1740.0,1740.0,1.0,3.772918282508928,5.675701595606281,60.07232697209367
active,154.0,C12,1740.0,1740.0,1.0,3.7736691381604364,5.675993687582521,60.07297963865629
active,154.0,C13,1740.0,1740.0,1.0,3.7742457593852357,5.676216409728346,60.07348186226587
active,154.0,C14,1740.0,1740.0,1.0,3.774672890938938,5.676379962382868,60.07385490322874
active,154.0,C15,1740.0,1740.0,1.0,3.7749755541584835,5.676494455234454,60.074120300692776
active,154.0,C16,1740.0,1740.0,1.0,3.775179007118215,5.676569813926506,60.07429985721454
active,154.0,C17,1740.0,1740.0,1.0,3.775308994213494,5.676616048838564,60.074415840338155
active,154.0,C18,1740.0,1740.0,1.0,3.775390567378828,5.676644748888648,60.07448976582095
active,156.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.01384105147724
active,156.0,C02,1740.0,1740.0,1.0,3.576720799514351,5.397858787643513,59.829595288431996
active,156.0,C03,1740.0,1740.0,1.0,3.5807127471429476,5.400647273271971,59.83296568818717
active,156.0,C04,1740.0,1740.0,1.0,3.584296646615852,5.403130934049728,59.83599669783166
active,156.0,C05,1740.0,1740.0,1.0,3.587493333670563,5.405330363498711,59.838704102924495
active,156.0,C06,1740.0,1740.0,1.0,3.5903239803508487,5.407265330139212,59.84110431544059
active,156.0,C07,1740.0,1740.0,1.0,3.592810070357276,5.408954868839684,59.84321431913096
active,156.0,C08,1740.0,1740.0,1.0,3.5949733766702723,5.410417369788607,59.84505161768876
active,156.0,C09,1740.0,1740.0,1.0,3.596835941726698,5.411670664702839,59.84663418621736
active,156.0,S01,1240.0,1240.0,1.0,1.5416175453633583,1.2382666528914568,68.86152743930445
active,156.0,S02,0.0,0.0,0.0,1.6500000544713798,0.0,65.59958173739075
active,156.0,S03,1240.0,1240.0,1.0,1.5422936260777313,1.23859112379485,68.85888791891672
active,156.0,S04,1240.0,1240.0,1.0,1.5426171222251015,1.2387444861496306,68.85763675713567
active,156.0,S05,1240.0,1240.0,1.0,1.5364414563095978,1.2290295022484412,68.86692864106507
active,156.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.229172822686675,68.86575017825166
active,156.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.2293116127230272,68.86460812664731
active,156.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.2294459320033853,68.86350226377827
active,156.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.2295758414901046,68.86243235808276
